level	lesson	kanji	onyomi	kunyomi	vocab	furigana	meaning_th	meaning_en	example_th	example_en
N5	บทที่ 1	日	ニチ、ジツ	ひ、-び、-か	日曜日	にちようび	วันอาทิตย์	Sunday	日曜日は休みです。	Sunday is a holiday.
N5	บทที่ 1	日	ニチ、ジツ	ひ、-び、-か	毎日	まいにち	ทุกวัน	Every day	日曜日は休みです。	Sunday is a holiday.
N5	บทที่ 1	月	ゲツ、ガツ	つき	月曜日	げつようび	วันจันทร์	Monday	月がきれいです。	The moon is beautiful.
N5	บทที่ 1	月	ゲツ、ガツ	つき	一月	いちがつ	เดือนมกราคม	January	月がきれいです。	The moon is beautiful.
N5	บทที่ 1	火	カ	ひ、ほ	火曜日	かようび	วันอังคาร	Tuesday	火曜日に会いましょう。	Let's meet on Tuesday.
N5	บทที่ 1	火	カ	ひ、ほ	火事	かじ	ไฟไหม้	Fire	火曜日に会いましょう。	Let's meet on Tuesday.
N5	บทที่ 1	水	スイ	みず	水曜日	すいようび	วันพุธ	Wednesday	水を飲みます。	I drink water.
N5	บทที่ 1	水	スイ	みず	水	みず	น้ำ	Water	水を飲みます。	I drink water.
N5	บทที่ 1	木	モク、ボク	き、こ	木曜日	もくようび	วันพฤหัสบดี	Thursday	木の下で休みます。	I rest under the tree.
N5	บทที่ 1	木	モク、ボク	き、こ	木	き	ต้นไม้	Tree	木の下で休みます。	I rest under the tree.
N5	บทที่ 1	金	キン、コン	かね、かな	金曜日	きんようび	วันศุกร์	Friday	お金が必要です。	I need money.
N5	บทที่ 1	金	キン、コン	かね、かな	お金	おかね	เงิน	Money	お金が必要です。	I need money.
N5	บทที่ 1	土	ド、ト	つち	土曜日	どようび	วันเสาร์	Saturday	土曜日に遊びます。	I play on Saturday.
N5	บทที่ 1	土	ド、ト	つち	土地	とち	ที่ดิน	Land	土曜日に遊びます。	I play on Saturday.
N5	บทที่ 2	一	イチ、イツ	ひと-	一つ	ひとつ	หนึ่งชิ้น	One thing	一つください。	One please.
N5	บทที่ 2	一	イチ、イツ	ひと-	一人	ひとり	คนเดียว	One person	一つください。	One please.
N5	บทที่ 2	二	ニ	ふた-	二つ	ふたつ	สองชิ้น	Two things	二人で行きます。	We go together.
N5	บทที่ 2	二	ニ	ふた-	二人	ふたり	สองคน	Two people	二人で行きます。	We go together.
N5	บทที่ 2	三	サン	み-、みっ-	三つ	みっつ	สามชิ้น	Three things	三月に日本へ行きます。	I go to Japan in March.
N5	บทที่ 2	三	サン	み-、みっ-	三月	さんがつ	เดือนมีนาคม	March	三月に日本へ行きます。	I go to Japan in March.
N5	บทที่ 2	四	シ	よ、よん	四つ	よっつ	สี่ชิ้น	Four things	四月は桜の季節です。	April is cherry blossom season.
N5	บทที่ 2	四	シ	よ、よん	四月	しがつ	เดือนเมษายน	April	四月は桜の季節です。	April is cherry blossom season.
N5	บทที่ 2	五	ゴ	いつ-	五つ	いつつ	ห้าชิ้น	Five things	五時に起きます。	I wake up at 5.
N5	บทที่ 2	五	ゴ	いつ-	五月	ごがつ	เดือนพฤษภาคม	May	五時に起きます。	I wake up at 5.
N5	บทที่ 2	六	ロク	む-、むっ-	六つ	むっつ	หกชิ้น	Six things	六月は雨が多い。	June has a lot of rain.
N5	บทที่ 2	七	シチ	なな-、なの-	七つ	ななつ	เจ็ดชิ้น	Seven things	七時に食べます。	I eat at 7.
N5	บทที่ 2	八	ハチ	や-、やっ-	八つ	やっつ	แปดชิ้น	Eight things	八百屋で買います。	I buy at the greengrocer.
